98.32,99.88,mistrials, sacks, intake, terminator, piece, washtubs, comfort
94.76,99.39,preserver, sacks, intake, terminator, piece, washtubs, comfort
95.47,99.56,preserver, allocation, intake, terminator, piece, washtubs, comfort
93.0,98.76,preserver, allocation, intake, hoist, piece, washtubs, comfort
89.45,95.67,pull, allocation, intake, hoist, piece, washtubs, comfort
90.81,97.24,pull, allocation, intake, hoist, piece, washtubs, language
90.63,97.07,pull, allocation, intake, hoist, bailing, washtubs, language
89.54,95.8,pull, cushions, intake, hoist, bailing, washtubs, language
91.4,97.76,hitches, cushions, intake, hoist, bailing, washtubs, language
92.41,98.45,hitches, cushions, intake, hoist, ideas, washtubs, language
93.98,99.16,hitches, cushions, intake, module, ideas, washtubs, language
93.24,98.88,hitches, cushions, intake, module, ideas, washtubs, fibers
91.6,97.91,leg, cushions, intake, module, ideas, washtubs, fibers
92.27,98.37,leg, cushions, formats, module, ideas, washtubs, fibers
87.33,91.88,leg, cushions, formats, module, ideas, temper, fibers
87.27,91.74,leg, cushions, formats, module, ideas, temper, floats
85.75,87.71,leg, cushions, formats, module, ideas, gravel, floats
86.66,90.26,leg, cushions, formats, module, ideas, gravel, shore
89.57,95.84,leg, cushions, formats, module, ideas, hunk, shore
88.36,93.96,leg, hull, formats, module, ideas, hunk, shore
87.26,91.71,leg, hull, formats, module, compresses, hunk, shore
88.28,93.81,leg, bell, formats, module, compresses, hunk, shore
85.42,86.65,leg, bell, starboard, module, compresses, hunk, shore
88.22,93.7,leg, bell, warships, module, compresses, hunk, shore
88.14,93.55,leg, bell, airfield, module, compresses, hunk, shore
84.89,84.89,leg, bell, valve, module, compresses, hunk, shore
84.9,84.93,leg, bell, valve, sponges, compresses, hunk, shore
89.9,96.26,leg, dioxides, valve, sponges, compresses, hunk, shore
88.95,94.94,leg, dioxides, valve, pops, compresses, hunk, shore
91.09,97.5,leg, dioxides, valve, pops, compresses, hunk, tickets
91.41,97.77,leg, dioxides, valve, pops, compresses, hunk, crimes
