92.26,98.36,calibrations, examples, combatants, cast, stub, raps, issue
88.54,94.28,plots, examples, combatants, cast, stub, raps, issue
91.51,97.85,plots, examples, combatants, buzzers, stub, raps, issue
88.78,94.67,plots, examples, combatants, buzzers, stub, bomb, issue
89.41,95.61,dish, examples, combatants, buzzers, stub, bomb, issue
92.8,98.66,dish, carload, combatants, buzzers, stub, bomb, issue
92.22,98.33,dish, carload, rings, buzzers, stub, bomb, issue
94.35,99.28,dish, carload, dissipation, buzzers, stub, bomb, issue
95.16,99.49,dish, carload, dissipation, buzzers, stub, bomb, documentation
90.97,97.39,dish, bowl, dissipation, buzzers, stub, bomb, documentation
91.99,98.19,dish, drive, dissipation, buzzers, stub, bomb, documentation
91.65,97.95,geography, drive, dissipation, buzzers, stub, bomb, documentation
90.33,96.75,geography, drive, dissipation, buzzers, islands, bomb, documentation
86.83,90.7,geography, drive, dissipation, surprises, islands, bomb, documentation
88.56,94.31,geography, drive, dissipation, surprises, islands, bomb, runoffs
88.71,94.55,geography, drive, dissipation, exchange, islands, bomb, runoffs
85.25,86.11,geography, drive, dissipation, exchange, islands, bomb, basics
85.15,85.76,worlds, drive, dissipation, exchange, islands, bomb, basics
87.32,91.85,bottles, drive, dissipation, exchange, islands, bomb, basics
90.34,96.77,bottles, drive, dissipation, exchange, apprehensions, bomb, basics
83.43,79.17,bottles, drive, dissipation, exchange, storage, bomb, basics
86.89,90.84,bottles, curvature, dissipation, exchange, storage, bomb, basics
90.81,97.24,bottles, curvature, rumbles, exchange, storage, bomb, basics
87.71,92.7,bottles, lakes, rumbles, exchange, storage, bomb, basics
88.59,94.36,bottles, lakes, rumbles, kiss, storage, bomb, basics
87.29,91.79,needs, lakes, rumbles, kiss, storage, bomb, basics
84.35,82.92,needs, lakes, rumbles, kiss, storage, bomb, wind
83.52,79.56,needs, lakes, rumbles, kiss, storage, drink, wind
84.43,83.22,needs, lakes, polarities, kiss, storage, drink, wind
84.43,83.22,needs, lakes, polarities, canvas, storage, drink, wind
82.98,77.22,needs, lakes, polarities, canvas, storage, memory, wind
85.21,85.96,needs, lakes, polarities, canvas, storage, memory, bulkheads
86.65,90.24,needs, lakes, polarities, canvas, storage, wine, bulkheads
81.16,68.2,needs, lakes, pocket, canvas, storage, wine, bulkheads
77.88,49.26,needs, lakes, pocket, canvas, storage, wine, mount
81.42,69.56,needs, adaption, pocket, canvas, storage, wine, mount
74.62,30.65,needs, umbrella, pocket, canvas, storage, wine, mount
77.18,45.14,needs, umbrella, shirts, canvas, storage, wine, mount
78.05,50.29,needs, umbrella, shirts, standards, storage, wine, mount
80.57,64.98,needs, umbrella, shirts, standards, storage, wine, thicknesses
77.61,47.7,needs, umbrella, shirts, standards, storage, wine, woman
82.1,73.04,supermarkets, umbrella, shirts, standards, storage, wine, woman
82.74,76.09,supermarkets, umbrella, shirts, standards, sleep, wine, woman
83.66,80.17,supermarkets, umbrella, seeds, standards, sleep, wine, woman
85.9,88.17,supermarkets, braids, seeds, standards, sleep, wine, woman
88.4,94.03,supermarkets, braids, seeds, acceptances, sleep, wine, woman
89.51,95.76,crank, braids, seeds, acceptances, sleep, wine, woman
91.41,97.76,crank, braids, seeds, acceptances, sleep, series, woman
88.0,93.29,crank, braids, seeds, puddles, sleep, series, woman
89.86,96.21,crank, braids, register, puddles, sleep, series, woman
90.46,96.89,crank, braids, arrivals, puddles, sleep, series, woman
85.76,87.74,crank, braids, jumps, puddles, sleep, series, woman
83.57,79.8,crank, braids, jumps, puddles, sleep, watches, woman
82.44,74.67,crank, forest, jumps, puddles, sleep, watches, woman
81.21,68.46,crank, forest, jumps, puddles, sleep, watches, moments
81.33,69.1,crank, forest, jumps, puddles, sleep, blasts, moments
82.05,72.77,crank, forest, jumps, beds, sleep, blasts, moments
85.48,86.87,crank, forest, jumps, beds, budgets, blasts, moments
85.29,86.23,crank, forest, jumps, beds, budgets, blasts, camps
84.62,83.9,coordinates, forest, jumps, beds, budgets, blasts, camps
82.99,77.27,coordinates, forest, jumps, beds, budgets, conventions, camps
84.53,83.57,coordinates, forest, jumps, beds, quality, conventions, camps
86.4,89.57,ballast, forest, jumps, beds, quality, conventions, camps
88.85,94.78,ballast, forest, jumps, beds, cuffs, conventions, camps
89.72,96.04,ballast, forest, jumps, latitudes, cuffs, conventions, camps
88.67,94.49,ballast, forest, streets, latitudes, cuffs, conventions, camps
89.1,95.17,ballast, forest, streets, latitudes, cuffs, conventions, loops
87.17,91.51,ballast, forest, streets, latitudes, cuffs, balloons, loops
87.5,92.25,ballast, forest, streets, inventories, cuffs, balloons, loops
88.63,94.42,ballast, forest, rules, inventories, cuffs, balloons, loops
90.33,96.75,ballast, forest, rules, attesting, cuffs, balloons, loops
90.09,96.49,ballast, forest, rules, attesting, cuffs, notation, loops
89.91,96.27,ballast, forest, rules, attesting, recombination, notation, loops
88.58,94.33,mentions, forest, rules, attesting, recombination, notation, loops
90.0,96.38,shoulder, forest, rules, attesting, recombination, notation, loops
90.69,97.12,shoulder, forest, rules, attesting, recombination, slice, loops
88.37,93.98,shoulder, forest, rules, attesting, groom, slice, loops
90.18,96.59,stocks, forest, rules, attesting, groom, slice, loops
90.44,96.87,stocks, forest, rules, attesting, groom, slice, barge
91.22,97.61,stocks, august, rules, attesting, groom, slice, barge
90.08,96.47,journeys, august, rules, attesting, groom, slice, barge
90.09,96.48,journeys, august, disciplines, attesting, groom, slice, barge
88.94,94.93,journeys, beach, disciplines, attesting, groom, slice, barge
89.76,96.09,journeys, beach, disciplines, adverb, groom, slice, barge
89.68,95.98,journeys, beach, disciplines, adverb, groom, slice, varieties
91.75,98.02,apparatuses, beach, disciplines, adverb, groom, slice, varieties
92.9,98.71,apparatuses, beach, disciplines, adverb, groom, slice, annex
91.87,98.11,apparatuses, beach, disciplines, adverb, floors, slice, annex
92.36,98.42,apparatuses, beach, disciplines, mistrials, floors, slice, annex
91.6,97.91,apparatuses, beach, disciplines, mistrials, floors, slice, glaze
89.3,95.46,variation, beach, disciplines, mistrials, floors, slice, glaze
93.49,98.98,variation, beach, disciplines, mistrials, floors, slice, survivals
92.71,98.62,variation, weapons, disciplines, mistrials, floors, slice, survivals
91.96,98.17,variation, weapons, ordnance, mistrials, floors, slice, survivals
89.11,95.18,variation, weapons, ordnance, mistrials, sequences, slice, survivals
89.26,95.41,variation, weapons, ordnance, mistrials, sequences, slice, fives
91.38,97.74,brace, weapons, ordnance, mistrials, sequences, slice, fives
87.68,92.64,brace, weapons, ordnance, wonder, sequences, slice, fives
85.4,86.6,brace, weapons, ordnance, wonder, sequences, number, fives
88.81,94.72,brace, pupil, ordnance, wonder, sequences, number, fives
