89.83,96.18,errs, analogies, stationary, racquet, stargazer, imbeciles, slighting
92.3,98.38,errs, analogies, stationary, racquet, reggae, imbeciles, slighting
93.89,99.13,errs, analogies, stationary, racquet, reggae, imbeciles, slumping
92.76,98.64,errs, analogies, inquisition, racquet, reggae, imbeciles, slumping
91.12,97.52,errs, analogies, inquisition, racquet, reggae, imbeciles, gliding
89.72,96.03,errs, defeatist, inquisition, racquet, reggae, imbeciles, gliding
90.79,97.22,errs, defeatist, inquisition, racquet, reggae, imbeciles, slimmer
92.4,98.45,errs, defeatist, extraordinary, racquet, reggae, imbeciles, slimmer
92.39,98.44,congruity, defeatist, extraordinary, racquet, reggae, imbeciles, slimmer
92.6,98.56,congruity, criminals, extraordinary, racquet, reggae, imbeciles, slimmer
95.47,99.55,congruity, criminals, extraordinary, racquet, reggae, trefoil, slimmer
95.85,99.62,congruity, criminals, cedars, racquet, reggae, trefoil, slimmer
94.65,99.36,congruity, criminals, cedars, racquet, reggae, revolutionising, slimmer
95.77,99.61,congruity, criminals, frontispiece, racquet, reggae, revolutionising, slimmer
96.28,99.69,congruity, criminals, limestone, racquet, reggae, revolutionising, slimmer
94.18,99.23,congruity, criminals, limestone, racquet, knowledgeably, revolutionising, slimmer
93.89,99.13,congruity, criminals, limestone, racquet, knowledgeably, revolutionising, glances
92.96,98.74,idols, criminals, limestone, racquet, knowledgeably, revolutionising, glances
94.36,99.28,idols, criminals, limestone, racquet, theistic, revolutionising, glances
94.01,99.17,idols, criminals, limestone, racquet, balloting, revolutionising, glances
94.94,99.44,idols, criminals, limestone, racquet, balloting, revolutionising, fryers
95.33,99.53,idols, criminals, limestone, racquet, balloting, disharmonious, fryers
95.97,99.64,shipwright, criminals, limestone, racquet, balloting, disharmonious, fryers
97.41,99.82,shipwright, criminals, limestone, racquet, balloting, owlet, fryers
98.27,99.88,shipwright, criminals, limestone, racquet, happening, owlet, fryers
98.16,99.87,shipwright, abstractions, limestone, racquet, happening, owlet, fryers
98.69,99.9,shipwright, refillable, limestone, racquet, happening, owlet, fryers
98.29,99.88,shipwright, refillable, stratagems, racquet, happening, owlet, fryers
98.4,99.89,shipwright, refillable, stratagems, stretch, happening, owlet, fryers
98.53,99.89,shipwright, refillable, luxury, stretch, happening, owlet, fryers
98.36,99.88,shipwright, refillable, luxury, strafing, happening, owlet, fryers
99.03,99.92,shipwright, refillable, luxury, formulated, happening, owlet, fryers
97.6,99.83,shipwright, refillable, poorer, formulated, happening, owlet, fryers
98.37,99.89,shipwright, refillable, weltering, formulated, happening, owlet, fryers
98.91,99.91,shipwright, refillable, weltering, formulated, happening, owlet, chiropractor
98.25,99.88,shipwright, refillable, weltering, formulated, happening, owlet, galena
98.67,99.9,shipwright, refillable, mayoralty, formulated, happening, owlet, galena
